UsuarioID,Nome,Email,Telefone,DataNascimento,Genero,CidadeID,CEP,Profissao,RendaFamiliar,Fumante,DataCadastro,DataUltimaAtualizacao,Ativo
1878,Alice da Paz,beniciocosta@example.org,+55 (084) 9434 2548,1994-07-03,M,229,87815-579,Motofrete,4658.37,0,2025-06-19 03:52:30.365767,2024-10-01 16:58:17.976625,1
1879,Maria Helena Rocha,martinsesther@example.com,+55 (011) 5085-1154,1966-04-15,F,225,77831-160,Técnico em óptica,4482.46,0,2025-03-03 16:11:57.450299,2025-01-17 06:26:34.131237,1
1880,Sr. Calebe Nascimento,silvacaroline@example.org,0500 475 0465,1980-01-15,M,187,18755-279,Ortoptista,3382.82,0,2024-07-04 06:55:59.714511,2025-04-05 17:56:42.499743,1
1881,Maria Lopes,npinto@example.org,+55 11 4254-2288,1953-08-03,M,399,59089679,Limpador de vidros,3670.05,0,2023-10-14 14:10:41.506217,2024-12-22 18:29:03.782197,1
1882,Júlia Farias,souzaeloa@example.org,+55 (031) 3260 2974,1946-04-20,F,216,04788201,Percursionista,1727.83,0,2023-09-01 16:04:19.030764,2024-09-24 04:00:18.658835,1
1883,João Felipe Brito,brenocardoso@example.net,84 0579-6873,1974-12-20,M,286,43479-463,Jóquei,2047.73,0,2023-12-12 14:05:14.492971,2025-06-07 18:43:39.527572,1
1884,Matteo Martins,mgarcia@example.org,+55 (084) 5201-8897,1964-11-24,M,441,90835174,Moldador,4664.47,1,2025-07-06 22:39:15.063558,2025-01-02 20:41:08.295141,1
1885,Isabella Siqueira,peixotolucas@example.org,61 1109 7630,1991-05-19,F,425,46267-334,Peixeiro,4530.58,0,2024-07-30 16:36:05.346287,2025-06-14 10:54:26.680161,1
1886,Evelyn Moreira,isabelly54@example.org,+55 (031) 8665-3581,1955-03-21,M,439,35332-616,Instrumentador cirúrgico,4280.82,0,2024-10-13 01:42:07.375477,2025-01-03 12:44:51.630418,1
1887,Sr. Levi Novaes,bentomacedo@example.net,81 9857-9172,1964-06-25,F,128,02113-010,Agrimensor,2304.9,1,2024-03-14 11:09:56.336085,2025-05-18 15:04:26.340908,1
1888,Anthony Azevedo,fogacayan@example.org,+55 21 4868 8238,1963-11-15,M,18,13021-732,Skatista,4699.66,0,2025-01-18 01:49:57.811221,2025-06-13 14:50:49.604607,1
1889,Noah Brito,maria-fernandacostela@example.org,11 5151 0934,1994-08-08,M,124,51492-393,Flautista,1668.0,0,2025-03-24 02:27:42.778911,2025-01-26 05:29:48.128616,1
1890,Bella Rodrigues,camposjoao-vitor@example.net,71 6730 8804,1999-02-23,F,130,74968-101,Profissional de informática,5108.6,0,2024-06-19 17:43:13.694571,2025-07-29 03:30:45.755973,1
1891,Marcela Câmara,pedro18@example.com,71 0812-7274,1971-07-05,M,448,69605061,Diretor de fotografia,2616.43,0,2023-12-27 18:06:04.978714,2025-07-27 05:02:46.881442,1
1892,Sra. Isis Correia,almeidaana@example.org,(021) 0011-1566,1971-06-03,M,306,25584451,Tecnólogo em rochas ornamentais,6919.41,1,2024-01-30 23:24:05.001039,2025-07-17 00:31:01.820587,1
1893,Apollo Pinto,emanuelrios@example.net,+55 41 1108-4855,1964-02-22,M,43,24959-038,Tecnólogo em recursos pesqueiros,1393.09,0,2024-06-09 19:46:08.967933,2024-12-14 16:55:48.009782,1
1894,Benjamin Peixoto,brenoteixeira@example.net,(051) 9393-8124,1952-04-19,M,68,35378-559,Profissional de linguística,7199.03,0,2024-02-25 03:16:03.546267,2025-05-24 00:20:08.555664,1
1895,Helena Peixoto,imoreira@example.org,+55 (031) 1476 6964,1955-08-19,F,77,72974070,Instalador de painéis,2488.08,1,2024-01-28 00:24:20.584804,2024-08-16 04:08:44.835859,1
1896,Camila Santos,sarah10@example.net,81 4615-9101,1972-10-04,M,298,86500-017,Museólogo,2465.77,0,2025-03-18 01:43:29.489944,2024-08-17 02:21:07.434283,1
1897,Caio Pereira,danielferreira@example.com,(031) 5297 1730,1962-11-02,F,354,75499793,Atleta de nado sincronizado,3285.98,0,2025-01-18 11:51:23.662009,2025-07-21 02:36:36.359939,1
1898,Marcos Vinicius Ribeiro,manuela38@example.com,+55 84 3113-8750,1961-04-18,F,419,65452607,Moldureiro,2103.72,0,2025-04-12 04:57:34.631113,2025-06-21 01:32:13.437947,1
1899,Ester Camargo,fsa@example.net,0300 310 6173,1945-10-05,M,470,40119888,Arrumadeira,2875.08,0,2025-05-19 23:03:36.214793,2024-11-12 10:12:31.168308,1
1900,Srta. Isis da Rocha,lcostela@example.net,(081) 5997 1777,1984-11-25,O,97,29560-173,Artista de circo,2061.5,0,2023-12-22 07:16:54.636294,2025-01-24 16:06:20.880987,1
1901,Ana Vitória Porto,vitor-hugosilva@example.com,+55 (031) 1664-0162,1944-10-01,M,146,92834062,Torreiro/Torrista,2099.53,0,2025-05-06 09:04:57.977489,2025-04-03 05:05:53.767760,1
1902,Kamilly Vargas,renan81@example.com,(061) 9534 5479,1964-04-04,O,115,32104216,Astrólogo,3802.61,0,2025-04-04 13:55:26.119363,2025-03-22 14:45:47.168960,1
1903,Luna da Cunha,nascimentolevi@example.com,(071) 2808-9372,1968-02-20,M,171,40492630,Engenheiro de energia,1899.26,0,2024-09-21 00:07:07.930182,2024-08-20 07:38:16.627203,1
1904,Brayan da Mota,marcos-viniciusteixeira@example.net,(061) 9561 6898,1966-03-22,F,452,47746-406,Assistente social,2030.23,0,2024-11-20 21:13:06.446297,2024-11-18 01:48:58.622169,1
1905,Mateus Gomes,luizada-mota@example.org,+55 (081) 7501-4810,1971-02-10,F,273,23898-436,Paginador,1500.58,1,2023-12-11 21:52:58.024924,2025-02-20 05:29:13.644655,1
1906,Sr. José Pedro da Luz,gael-henrique85@example.org,+55 (041) 7036-4657,1983-12-02,M,355,96255938,Cirurgião dentista,2317.01,0,2024-10-25 05:40:22.260593,2024-08-29 07:49:20.899733,1
1907,Pedro Lucas Azevedo,emanuella76@example.net,61 1052 7237,1968-02-14,F,233,76846-354,Engenheiro de som,5743.37,0,2024-08-29 22:21:50.403478,2025-06-13 06:48:13.495518,1
1908,Gabriela Pimenta,fernandescamila@example.net,(084) 4354 7780,1973-03-08,F,14,23857-918,Filósofo,1952.83,0,2023-12-12 19:14:08.936533,2024-08-05 01:00:53.847521,1
1909,Emanuelly Ramos,da-cruzcaue@example.net,+55 71 5260 7486,1994-06-14,M,33,83628-206,Engenheiro acústico,2067.68,0,2023-08-19 22:33:56.389737,2024-10-26 18:25:41.124470,1
1910,Bianca Casa Grande,oliveiralavinia@example.net,0300 935 8839,1963-06-03,M,254,72072035,Policial civil,3284.47,0,2024-12-30 23:02:48.254509,2024-11-14 12:10:36.383602,1
1911,Marina Cunha,ana-julia48@example.com,(084) 8479-1665,1982-05-11,F,343,04634-413,Pesquisador,2476.5,1,2023-11-26 09:12:26.183101,2025-01-02 22:53:42.131861,1
1912,Bianca Macedo,rcaldeira@example.com,0500 144 4503,1981-05-17,F,104,74130645,Protético dentário,9082.25,0,2024-02-03 06:31:51.521035,2024-10-20 20:12:20.660786,1
1913,Sra. Bella Andrade,santosana-beatriz@example.net,+55 (051) 3124-8914,1978-11-06,O,344,54934-417,Urbanista,2748.3,0,2023-09-11 12:03:03.797695,2025-01-02 07:38:55.644414,1
1914,Brayan Oliveira,ian50@example.net,+55 (031) 7425-8915,1965-06-05,F,394,15611223,Ourives,3524.91,0,2024-11-23 00:28:57.772829,2024-11-27 04:16:54.307540,1
1915,Sra. Melissa Almeida,thomasda-paz@example.com,0300-654-5827,1948-11-18,O,195,21220-486,Tenente,4778.51,0,2024-03-27 12:46:22.932161,2024-08-10 12:02:54.291193,1
1916,Clarice Rezende,bryan35@example.org,+55 11 7204-1689,1988-01-10,F,359,42492245,Montador,4732.88,0,2023-09-29 11:50:09.934079,2025-07-26 04:46:41.842051,1
1917,Agatha Andrade,mjesus@example.com,+55 (081) 9424-1850,2004-09-10,M,192,77917-484,Modelo,3349.76,0,2025-01-02 14:24:46.620651,2025-07-09 14:42:29.670954,1
1918,Maria Julia da Mata,clarice93@example.com,(021) 8900 6067,1974-11-06,M,321,27433823,Ourives,2750.22,0,2023-10-09 21:48:31.021764,2025-02-24 04:54:05.998401,1
1919,Lucas Gonçalves,nicole81@example.org,+55 (021) 8762 4082,1970-08-10,F,368,98861-794,Tecnólogo em automação industrial,8201.02,0,2025-06-09 21:36:16.156785,2025-03-15 15:35:49.038170,1
1920,Agatha Moraes,leandromachado@example.com,84 3300-9273,1961-05-10,F,498,26845729,Aviador,2835.91,0,2024-05-05 16:37:58.113031,2025-03-17 16:37:26.975039,1
1921,Sra. Pietra Lopes,ana-clara77@example.net,+55 31 8528-9257,1961-04-28,M,164,71054-004,Engenheiro químico,2390.25,0,2025-06-22 16:32:35.010541,2025-01-13 03:13:11.698696,1
1922,Ana Lívia Nogueira,rmonteiro@example.com,+55 (041) 2672 1825,1974-10-17,M,195,69281-679,Agricultor,2158.3,1,2024-07-28 19:15:29.400457,2025-01-05 15:07:01.869285,1
1923,Alexandre Gomes,esterda-paz@example.net,(084) 1577-3175,1976-05-01,O,81,63665-225,Administrador,1257.14,1,2023-09-19 19:24:03.585380,2024-11-18 21:09:21.779397,1
1924,Sra. Camila Nunes,cardosopedro-henrique@example.net,+55 41 6397-8690,1963-09-25,F,98,13133-226,Vigilante noturno/diurno,4495.39,0,2024-07-18 17:52:41.327107,2024-09-21 05:44:14.617002,1
1925,Maria Alice Farias,scasa-grande@example.net,+55 21 6184-3968,1965-04-09,M,330,43248948,Guitarrista,921.47,0,2024-06-23 17:13:59.402940,2024-11-11 16:54:56.467740,1
1926,Liz Guerra,maria-sophiapeixoto@example.com,+55 (041) 2983-3691,1974-01-22,F,452,63359709,Aeromoça,2972.44,0,2025-06-02 06:52:38.068414,2025-02-25 08:37:29.922750,1
1927,Caleb Fonseca,almeidamarina@example.org,0900 571 7830,1975-03-31,M,189,16982-507,Dentista,2690.74,1,2024-10-29 02:06:33.115944,2024-08-31 20:07:04.251684,1
1928,Manuela Barros,bianca59@example.com,+55 (071) 3056 4415,1982-09-06,M,87,37613874,Ortopedista,9136.04,1,2023-09-18 05:28:35.299854,2024-11-09 06:11:16.025851,1
1929,Lavínia Ramos,lara74@example.net,81 9689-7482,1951-08-10,M,133,59445-681,Administrador de redes,1192.94,1,2023-12-07 05:24:28.899499,2025-02-01 06:04:02.590033,1
1930,Felipe Novaes,lopesleticia@example.org,71 7583-3183,2004-05-18,M,218,42064-522,Produtor de multimídia,1899.69,0,2023-12-08 03:47:20.733705,2024-08-27 01:24:58.381992,1
1931,Matheus Ribeiro,carolinaviana@example.com,0900-021-5732,1967-11-13,F,136,12542-397,Engenheiro naval,2784.86,0,2025-04-16 16:48:15.959022,2025-04-01 22:39:31.995480,1
1932,Kaique Sampaio,jcampos@example.com,+55 (011) 8361 6228,1973-11-23,M,111,38479-856,Jornalista,2700.62,0,2023-10-21 12:07:53.220526,2024-10-05 03:47:02.952329,1
1933,Bianca Pires,pedro-miguel50@example.org,(071) 9473-1109,1946-01-13,F,355,91850-573,Cobaia Médica,2264.77,0,2023-11-20 15:25:12.187494,2024-12-19 10:06:30.287392,1
1934,Sra. Raquel Barros,clopes@example.com,21 2048-1611,1965-03-22,F,3,97613070,Profissional de manutenção industrial,2862.66,0,2023-12-16 14:25:51.527957,2025-04-24 20:10:36.511046,1
1935,Maysa Sousa,garciaana-julia@example.org,+55 (071) 3628-8570,1989-12-07,M,254,55925-267,Endodontista,1587.98,0,2024-03-16 23:05:25.216120,2025-06-28 03:57:39.424934,1
1936,Davi Miguel Andrade,leandromendonca@example.org,+55 51 5896 7196,2002-04-27,F,384,49438804,Telefonista,3563.85,0,2024-03-21 17:43:17.654578,2025-01-04 20:18:44.483751,1
1937,Apollo Silveira,xgoncalves@example.org,(084) 2630 2669,1998-05-12,F,127,16417-272,Jogador de tênis de mesa,933.8,0,2025-05-15 16:14:06.949089,2025-07-21 06:28:11.942512,1
1938,Isabella Mendonça,da-pazemilly@example.org,51 0327 3996,1992-07-30,F,286,30793094,Hostess,2942.8,0,2024-11-16 21:07:52.638228,2024-12-09 22:34:05.434151,1
1939,Ana Luiza Vieira,yuricaldeira@example.com,(021) 6290-9137,1966-09-04,M,317,02997169,Ciclista,2207.95,1,2024-11-13 21:07:17.683749,2025-06-22 06:30:52.259800,1
1940,Lorena Monteiro,araujocamila@example.com,(011) 1283 9175,1972-09-27,F,308,04209932,Técnico em tratamento de água,4954.96,0,2023-11-15 04:06:07.322278,2024-12-05 17:52:52.011400,1
1941,Milena Almeida,barbara83@example.com,41 7350 8220,1986-05-03,F,214,94455-870,Violonista,7169.96,1,2023-08-13 03:31:11.456280,2025-05-12 19:49:35.576471,1
1942,Lucca Araújo,eduarda95@example.com,+55 84 7301-9249,1958-08-06,M,164,48164156,Engenheiro de minas,2526.21,1,2024-12-21 15:19:41.624686,2025-05-23 22:46:01.639701,1
1943,Sr. Nathan Campos,hcirino@example.com,+55 (041) 7488 2418,1983-09-14,M,407,70663-251,Sexólogo,5975.14,0,2023-12-29 16:53:05.014244,2025-04-14 18:51:59.406245,1
1944,Vicente Marques,nicolasfreitas@example.net,+55 11 3567-2071,1995-06-28,F,365,67682-802,Surfista,2545.14,0,2023-08-01 02:11:28.308105,2024-10-28 20:56:54.781062,1
1945,Zoe Cassiano,wsampaio@example.com,0900 014 7342,1961-10-21,F,151,95236-853,Ferreiro,1838.93,0,2023-08-27 12:16:06.426409,2025-02-17 15:21:38.005339,1
1946,Dra. Isabel Barbosa,dmoraes@example.net,(061) 2208-9580,1975-10-09,M,52,81752212,Chapeiro,7136.32,0,2025-01-29 10:53:41.461695,2025-06-07 20:00:28.238576,1
1947,Diego Mendonça,anthony-gabriel49@example.org,0800-015-1748,1960-08-01,F,35,20864046,Boxeador,3867.6,0,2024-10-29 16:02:15.635846,2024-08-26 00:32:56.723469,1
1948,Allana Melo,montenegrolara@example.net,0900 862 2068,1983-07-16,M,47,85101215,Rebarbador de metal,2987.58,1,2024-05-14 23:19:00.792804,2024-12-14 23:04:35.250673,1
1949,Ana Clara da Cruz,da-rochamurilo@example.org,84 7364 3894,1971-12-27,F,276,22034061,Juiz de futebol,4203.15,0,2023-12-25 11:52:13.560524,2025-06-23 21:54:02.424818,1
1950,Dra. Caroline Albuquerque,xborges@example.com,+55 (084) 5235 9820,1983-12-29,M,26,95882571,Cadista,3419.01,0,2025-02-12 15:57:12.626025,2025-04-20 06:19:23.071440,1
1951,Benicio das Neves,unovais@example.org,+55 84 9016 6515,1956-04-21,F,157,89863040,Meeiro,2879.55,1,2024-07-30 12:24:02.744089,2024-08-31 12:46:43.776097,1
1952,Rafael Pimenta,piresmaria-alice@example.net,+55 (084) 7477 2343,1978-02-12,M,362,19947-876,Kite-surfer,1535.76,0,2024-04-11 11:02:57.421352,2024-12-26 03:01:44.313163,1
1953,Benício Caldeira,pietrogoncalves@example.net,(021) 6647-9846,1989-04-12,M,137,24959-098,Garimpeiro,2603.81,0,2025-06-07 09:11:42.728951,2024-09-27 01:42:44.152305,1
1954,Theo Peixoto,xaparecida@example.net,(071) 0335 0468,1978-08-14,M,367,99333-790,Pintor,4070.93,0,2025-07-02 09:36:09.772973,2025-03-28 13:17:41.930458,1
1955,Hellena Azevedo,davi-miguelrios@example.net,+55 (071) 1527 6509,1945-08-29,M,358,67849-372,Relações públicas,2803.47,0,2025-02-26 21:08:35.691146,2024-08-01 07:43:57.944541,1
1956,Paulo Fernandes,handrade@example.net,61 0307 5856,1980-12-04,F,118,92581563,Coach,4680.51,0,2025-02-19 15:04:09.976916,2025-04-29 22:55:28.030718,1
1957,Dra. Maria Liz Duarte,benicio10@example.com,0500-396-3229,1962-01-24,M,351,82048-501,Engenheiro mecatrônico,3611.32,0,2024-09-15 17:02:43.422815,2025-05-16 11:46:00.029417,1
1958,Yago Carvalho,matteo91@example.org,0900-194-5763,1975-12-20,F,359,47052-163,Pecuarista,1921.64,0,2024-12-23 21:53:00.091271,2025-06-24 15:26:36.885046,1
1959,Sr. Augusto Pastor,freitasnicolas@example.org,+55 61 3399-7123,1946-02-06,M,190,21881-023,Dublê,1541.35,0,2025-07-11 15:32:33.462470,2025-02-20 22:03:22.910542,1
1960,Lucas Gabriel Azevedo,castrojade@example.com,81 3061 9377,1988-02-06,M,102,47886-024,Jóquei,2755.66,0,2024-10-08 05:57:47.913797,2025-01-22 14:31:51.617321,1
1961,João Guilherme Casa Grande,andrademateus@example.net,+55 (081) 6198 7801,1946-05-27,M,248,66980527,Enfermeiro,2293.62,0,2023-11-03 06:01:42.143566,2025-02-21 17:16:54.934638,1
1962,Eloá Sampaio,pedro-henriqueoliveira@example.com,81 7166-9934,1986-05-09,M,455,28052-094,Médico,3526.85,0,2024-11-17 07:58:49.540190,2025-03-09 07:38:28.934562,1
1963,Sr. Pedro Lucas da Cruz,melinapastor@example.org,+55 31 0556 7242,1954-05-25,M,302,23398-794,Tecnólogo em processos químicos,2081.68,0,2023-12-03 03:33:21.403646,2025-07-15 20:27:04.439563,1
1964,Ana Cecília Carvalho,andrerios@example.net,(041) 4207-8427,1988-11-28,M,83,66928895,Gerente de inovações ou novos negócios,2191.42,0,2025-05-24 13:01:43.497301,2025-05-26 23:28:11.249633,1
1965,Marcos Vinicius Vasconcelos,yasminnovais@example.net,+55 71 7137 5648,1987-09-13,F,324,30555-340,Nutricionista,5046.93,0,2023-12-13 06:06:04.888956,2024-10-30 11:28:27.015050,1
1966,Antony Mendonça,kmoreira@example.net,84 7143 6489,1986-06-23,M,203,75469-868,Ferreiro,3210.24,0,2025-02-14 16:38:04.532846,2024-08-20 20:37:13.056127,1
1967,André Abreu,novaissophia@example.net,+55 31 6175-9088,1970-10-06,F,280,31801421,Físico,2097.78,0,2025-07-27 07:15:28.445925,2024-08-30 05:58:17.856996,1
1968,Caio Santos,sarahda-rosa@example.com,(081) 0025-1882,1954-11-23,F,354,10267-086,Barbeiro,3007.37,1,2023-11-13 00:34:18.949000,2025-05-27 12:24:05.347759,1
1969,Larissa Leão,gmoreira@example.com,84 1602-5334,1953-07-19,M,244,40172-894,Retificador,5939.95,0,2025-01-11 21:20:35.981991,2024-12-18 09:01:32.297628,1
1970,Sra. Carolina Costela,zlopes@example.org,(021) 1102 2013,1955-06-09,F,395,25442250,Figurante,3452.64,0,2023-10-18 10:35:35.526527,2024-11-13 16:43:08.689969,1
1971,João Gabriel Moreira,joao-gabriel08@example.org,0300 216 0922,1951-11-15,O,344,86435828,Peão de rodeiro,4009.71,0,2024-08-17 10:33:38.371620,2024-12-14 07:11:23.866904,1
1972,Maria Sophia da Costa,olivia12@example.com,51 9370 9972,1948-04-13,F,291,37120642,Bioquímico,2046.49,1,2024-05-16 03:11:15.862768,2024-10-05 01:33:47.415844,1
1973,Arthur Miguel Peixoto,jadelopes@example.com,84 3329 3300,1956-11-19,F,75,65663-827,Jogador de basquete,4980.12,0,2024-06-12 17:37:44.801580,2024-08-24 19:02:29.454571,1
1974,Theo Pimenta,jda-mota@example.net,+55 (021) 3285-2124,1994-12-04,M,407,12303864,Torreiro/Torrista,9500.04,0,2025-05-05 02:11:59.474878,2025-02-09 02:57:07.342099,1
1975,Kevin Ferreira,rdas-neves@example.org,+55 (021) 0622 4174,1963-08-02,F,466,46509395,Guardador de veículos,2006.74,0,2025-05-28 03:08:24.426225,2025-01-02 09:09:58.069672,1
1976,Alana Novais,maria-fernanda83@example.net,51 6006 4988,1995-09-30,F,70,00324468,Profissional de tecnologia de laticínios,1650.86,0,2023-09-14 21:18:45.963981,2024-09-23 17:49:54.569665,1
1977,Gael Campos,mayapeixoto@example.com,+55 (031) 4769-0290,1985-08-16,F,233,35618844,Transcritor,3254.43,0,2024-10-25 01:55:21.521232,2024-08-13 05:26:19.121471,1
1978,Aylla Pinto,cda-costa@example.net,+55 (051) 7699-9045,1944-08-19,O,123,18029-632,Montador,4618.16,1,2024-05-22 11:47:35.243678,2024-12-29 03:48:08.520423,1
1979,Sr. Ravi Vargas,rafaela18@example.com,+55 (061) 8202 6927,1970-10-17,M,363,40563562,Investigador particular,2847.81,0,2024-10-06 02:31:11.753442,2025-01-22 14:01:06.842617,1
1980,Giovanna da Mota,rda-rosa@example.net,81 2972-5398,1944-09-13,M,344,83794709,Afiador de ferramentas,1760.58,0,2023-12-11 09:33:11.125850,2025-01-22 06:53:23.594604,1
1981,Gael Camargo,ana-liviagomes@example.net,+55 (071) 7453-7401,2005-02-11,F,71,04386220,Barman,2823.43,0,2023-11-09 09:16:37.641929,2024-08-26 20:29:22.615993,1
1982,Renan Monteiro,fribeiro@example.com,+55 (061) 6849-0856,1967-07-17,F,433,65819725,Guarda ou policial rodoviário,4020.04,0,2024-11-07 11:32:43.437937,2025-06-28 13:52:39.632557,1
1983,Emanuel Rios,hadassa93@example.net,(021) 3206 5931,1972-10-16,M,87,07282-269,Agrimensor,2432.04,0,2024-11-29 07:30:09.764709,2025-04-18 04:31:33.926996,1
1984,Benjamim Ramos,theo15@example.com,+55 (011) 4838-2790,1981-03-17,M,387,96695218,Conferente de carga e descarga,4038.5,0,2024-09-15 20:24:24.104303,2024-12-22 00:21:49.814883,1
1985,Dr. Gustavo Henrique Lopes,tguerra@example.net,51 5457 3485,1986-10-28,M,218,04872898,Avalista,5336.66,0,2024-04-29 02:09:20.603620,2024-12-31 10:37:51.779806,1
1986,Lucas Gabriel Pimenta,matteopimenta@example.com,+55 81 1323-6616,1993-11-29,M,154,77385794,Empresário,3361.41,1,2024-02-23 21:54:15.508086,2024-12-01 00:21:10.647429,1
1987,Ana Clara Caldeira,cassianogabriela@example.net,+55 (061) 5230-8197,1946-08-05,F,78,55863956,Figurinista,2939.59,0,2024-05-25 18:20:42.825992,2024-10-09 05:55:01.652668,1
1988,Srta. Zoe Cavalcanti,novaisfernanda@example.com,+55 11 3494-5204,1990-07-26,F,82,51706016,Cartógrafo,4512.79,0,2023-12-21 15:29:13.931822,2025-04-04 14:25:15.545626,1
1989,Arthur Mendonça,agomes@example.net,11 2420 5267,1975-04-26,M,313,28592-940,Barbeiro,1942.92,0,2025-05-08 01:16:25.287369,2025-05-29 16:59:05.882804,1
1990,Bruna Barbosa,camposstephany@example.org,+55 (081) 8890-7613,1975-05-16,M,262,57805140,Jogador de tênis de mesa,1849.45,1,2024-11-11 10:06:20.883751,2025-01-15 21:43:02.404195,1
1991,Pedro Miguel Pastor,joao-vitorda-cruz@example.net,+55 71 8763 9540,2000-10-22,M,61,49886-081,Urologista,2608.98,0,2025-02-20 22:41:22.243480,2024-08-29 06:44:00.395509,1
1992,Lunna Leão,vitorgomes@example.net,+55 (041) 2202 6788,1951-09-17,M,57,18415924,Cinegrafista,2331.02,0,2025-04-07 10:16:46.288335,2024-11-04 23:16:32.470770,1
1993,Luan da Conceição,lcarvalho@example.org,84 9512 7057,1950-10-14,F,36,91709-201,Implantodontista,1994.86,0,2024-03-21 00:54:58.669726,2025-03-06 08:20:40.815427,1
1994,Luan da Conceição,maria-helenacostela@example.org,+55 (041) 2730 3820,1947-01-15,O,357,76382-335,Terapeuta floral,7444.53,0,2025-03-25 22:09:27.940137,2025-04-19 22:48:56.484630,1
1995,Isaac Sousa,jsantos@example.com,+55 (071) 0039 0110,1988-07-25,F,341,74087492,Técnico em aviação,8830.76,0,2024-04-30 10:53:03.664869,2024-08-14 13:25:54.241260,1
1996,Gabriela Garcia,gomesdavi-lucas@example.org,84 0092-8210,1968-09-28,M,29,49310674,Conferente de expedição,2497.75,0,2024-10-16 08:07:00.292205,2025-07-14 04:56:53.243246,1
1997,Brayan Melo,tmendonca@example.net,+55 (081) 8878-1514,2006-07-29,F,267,86890-326,Contábil,3120.85,0,2025-06-18 07:31:17.296753,2025-05-22 04:17:28.444627,1
1998,Raquel Aragão,maya83@example.org,+55 51 7892 6540,1991-01-26,F,45,86042362,Protético dentário,2713.73,0,2024-01-14 16:20:56.745344,2024-10-13 13:41:33.485228,1
1999,Clara Cunha,bella59@example.com,+55 21 6242 9555,1973-01-04,F,444,12697-834,Físico,5186.16,1,2024-12-11 02:33:31.777029,2025-01-19 05:54:17.089299,1
2000,Mirella Cavalcanti,manuella65@example.com,+55 21 8709-7915,1960-05-30,F,446,85017-811,Copeiro,5726.29,0,2025-01-09 01:37:02.423141,2024-11-05 22:43:37.252591,1
2001,Maria Fernanda Carvalho,rnovais@example.org,(031) 2205 8328,1992-06-04,M,332,26659481,Florista,1225.82,0,2024-02-26 08:56:58.752196,2025-03-11 01:34:26.608632,1
2002,Evelyn Pires,fogacabarbara@example.org,+55 31 7158-7544,1996-02-18,M,459,97773824,Implantodontista,3781.99,1,2023-08-09 16:49:16.976271,2024-08-29 00:24:00.597546,1
2003,Dr. Guilherme Farias,isabelaporto@example.net,0800-632-4246,1967-01-31,M,395,08144-968,Síndico,1550.9,0,2024-09-16 15:37:42.397095,2024-10-05 15:29:52.724904,1
2004,Arthur Gabriel Sales,brezende@example.com,71 0472 9484,1963-08-07,M,403,99165129,Orçamentista,7180.58,0,2024-04-20 20:30:05.167876,2025-02-03 11:46:41.247531,1
2005,Ana Liz da Mota,vinicius36@example.org,+55 (021) 2090-0143,1990-12-18,M,271,20102-545,Catador de carangueijos,3714.96,0,2025-04-11 11:06:56.616293,2025-02-11 17:25:50.942761,1
2006,Daniel Martins,maria-helenaandrade@example.com,+55 41 0160 9706,2003-10-10,F,142,21112454,Engenheiro de energia,1975.0,1,2024-10-25 01:29:10.212353,2025-01-06 13:30:01.634253,1
2007,Mariah Cavalcante,qcaldeira@example.com,(051) 0430-2419,1973-04-17,F,105,82977991,Diretor de fotografia,2642.13,0,2025-05-30 01:40:25.598136,2025-02-06 17:26:32.457271,1
2008,Sr. Juan Pereira,matheus44@example.org,+55 11 5080-5423,1974-10-09,F,153,59671212,Quadrinista,2579.91,1,2025-01-26 16:08:21.606640,2025-05-04 10:01:23.291798,1
2009,Enzo Gabriel Oliveira,araujoana@example.org,+55 21 5741-5181,1974-04-20,M,297,25620986,Cobrador de ônibus,3875.99,0,2024-11-16 23:31:54.329415,2024-10-13 13:42:16.081417,1
2010,Heloísa Borges,rodriguesnina@example.com,+55 41 4288-1514,1954-11-10,O,83,00872-046,Cartógrafo,5018.85,0,2023-09-09 19:48:37.215631,2025-06-06 23:08:08.652505,1
2011,Stephany Mendonça,dda-cunha@example.net,(031) 3990-5379,1996-06-27,O,123,06827273,Coveiro/Sepultador,1678.9,0,2023-12-15 14:16:59.917952,2024-12-18 11:35:02.271041,1
2012,Renan Martins,freitasjoao-guilherme@example.org,0800 915 5728,1966-08-22,F,224,34113323,Engenheiro agrimensor,7475.43,0,2024-05-01 10:58:03.286532,2024-08-06 22:14:11.494778,1
2013,Anthony Gabriel Siqueira,ayllabarros@example.net,(081) 6841-8162,1961-03-01,O,111,73299-155,Eletricista,6653.15,0,2023-09-28 10:59:30.519389,2025-07-20 07:16:31.619225,1
2014,Isadora da Cruz,oliveirasarah@example.com,84 2613-6243,1973-09-03,F,279,18724-338,Arranjador musical,1924.34,1,2023-11-27 00:02:04.886604,2024-11-27 00:54:18.174069,1
2015,Dr. Henry Pastor,fernandesjulia@example.com,(021) 1917 3959,1957-05-18,O,458,90960-528,Radioterapêutico,3091.47,0,2024-04-27 15:39:24.584278,2024-10-16 09:40:11.237204,1
2016,André Leão,da-costapietro@example.com,+55 31 2954-4055,1944-09-27,M,359,88700361,Ceramista,7012.18,0,2024-02-11 12:32:28.694661,2025-01-08 02:41:51.830927,1
2017,Asafe Melo,carlos-eduardo81@example.net,+55 81 6321-8270,1983-02-02,M,314,35305784,Perito judicial,5521.8,0,2024-10-17 13:16:29.534226,2024-11-15 05:55:28.473767,1
